Datetime,Konventionell,Biomasse,Wasserkraft,Andere erneuerbare Erzeugung,Wind Offshore,Wind Onshore,Solar,Braunkohle,Steinkohle,Erdgas,Pumpspeicher,Andere konventionelle Erzeugung,Gesamtstromverbrauch,Absolute Emissionen,CO₂-Emissionsfaktor des Strommix
2024-01-01T00:00:00,21.411849,3.680907,2.112412,0.523338,3.037988,15.264635,1.721438,6.931495,3.478272,8.777085,0.483582,1.741415,46.187891,16.661066415,349.232
2024-02-01T00:00:00,17.419484,3.447347,1.893887,0.42081,2.782364,13.885761,2.592403,6.184305,2.224817,6.870665,0.46709,1.672608,42.297675,14.042873709,329.603
2024-03-01T00:00:00,17.973866,3.578141,1.883481,0.340652,2.743038,9.062152,5.481959,6.630046,2.034093,7.049981,0.496259,1.763487,42.859451,14.563838632,353.618
2024-04-01T00:00:00,14.18308,3.438005,1.852263,0.311552,2.192464,9.373795,7.387836,4.525415,1.380309,6.087333,0.547986,1.642036,41.10327,11.139918564,286.583
2024-05-01T00:00:00,13.176735,3.475374,2.133224,0.346458,1.52391,6.106442,9.91876,4.999647,0.753138,5.256813,0.548401,1.618737,40.170698,10.749020588,291.814
2024-06-01T00:00:00,13.290845,3.18576,1.977135,0.301745,1.563236,5.570376,10.267146,5.406787,1.080473,4.747176,0.577055,1.479354,39.773624,11.078740976,305.083
2024-07-01T00:00:00,13.399675,3.251156,2.008353,0.354857,1.632058,5.469435,10.758985,5.601626,0.819669,4.662236,0.649037,1.667106,41.161735,11.350778822,306.949
2024-08-01T00:00:00,13.877284,3.251156,1.685768,0.345901,1.425593,5.143092,10.256899,5.518911,1.503614,4.699987,0.603061,1.55171,40.168325,11.663570563,323.189
2024-09-01T00:00:00,14.091562,3.223129,1.716986,0.315421,1.81886,8.85145,7.182903,5.311205,1.995948,4.803802,0.50789,1.472716,39.817549,11.673645472,313.804
2024-10-01T00:00:00,17.797967,3.494059,1.945917,0.362644,2.251454,8.239923,4.098661,7.249487,2.616022,5.804201,0.505721,1.622535,40.742179,15.076777975,393.455
2024-11-01T00:00:00,21.872593,3.494059,1.373588,0.371962,2.241622,10.113702,1.803411,7.769671,3.485369,8.692146,0.434839,1.490569,42.498633,16.339889374,412.145
2024-12-01T00:00:00,19.90506,3.680907,1.716986,0.404661,2.487414,13.519237,1.229598,6.671403,2.928277,8.248573,0.47908,1.577727,42.918971,15.673779242,359.924
2025-01-01T00:00:00,22.185359,3.660462,1.653527,0.382574,2.543036,12.971213,1.873628,7.001386,3.209953,9.877844,0.517252,1.578925,45.375293,16.617679347,367.081
2025-02-01T00:00:00,22.995431,3.394563,1.389601,0.335643,2.263014,7.101527,3.475236,7.273299,3.766241,10.03519,0.451694,1.469008,42.075623,17.327503516,423.086
2025-03-01T00:00:00,20.979036,3.520347,1.041301,0.32851,1.888158,6.337773,7.555736,7.463616,2.830428,8.609786,0.547584,1.527623,43.34002,16.277818772,390.816
2025-04-01T00:00:00,15.923791,3.379284,1.158278,0.28976,1.078282,5.759913,9.869502,5.477274,2.13211,6.277223,0.57898,1.458204,39.789227,12.589065733,336.078
2025-05-01T00:00:00,12.825614,3.344681,1.556983,0.278265,1.854862,7.731564,11.302644,4.210822,0.875998,5.709882,0.59704,1.431872,40.485004,9.852046893,253.301
2025-06-01T00:00:00,11.342631,3.172519,1.890698,0.264451,1.848189,8.494229,11.827773,3.728402,1.067605,4.700216,0.555854,1.290554,39.697711,8.832083063,227.394
2025-07-01T00:00:00,14.839724,3.215388,1.95252,0.295216,1.559366,6.129701,10.437841,5.901073,1.697385,5.41983,0.490451,1.330985,41.39489,12.101492754,314.899
2025-08-01T00:00:00,13.149239,3.187681,1.975143,0.311878,1.698491,5.346643,11.443723,4.634198,1.15689,5.501815,0.511148,1.345187,40.373226,10.316317445,277.972
2025-09-01T00:00:00,14.201047,3.130707,1.595897,0.269234,2.410209,9.501893,7.722685,5.051534,1.242337,6.16642,0.444819,1.295937,40.39774,11.023630966,283.882
2025-10-01T00:00:00,17.550142,3.428725,1.399179,0.266814,2.902951,13.476363,4.417976,5.793045,1.925553,7.703552,0.458815,1.669177,43.411767,13.578392655,312.563
2025-11-01T00:00:00,21.123056,3.547751,1.271545,0.272962,2.716105,9.693449,2.731882,6.745543,2.814277,9.530808,0.391873,1.640555,43.334416,16.057027777,388.257
2025-12-01T00:00:00,19.628534,3.664644,1.139604,0.287715,3.336671,12.059539,1.827753,5.58374,2.31111,9.525912,0.436373,1.771399,42.924313,14.543568336,346.734
2026-01-01T00:00:00,25.234581,3.661933,1.019555,0.296911,3.658586,12.764436,1.924782,7.027268,3.915466,12.118885,0.45764,1.715323,47.248091,18.464904048,380.243
